Region,Product,Date,Sales
North,Game4,11/03/2013,63226.66866
South,Board3,19/11/2015,112715.7179
North,Game3,26/12/2012,59415.2578
South,Game1,06/02/2012,43683.67673
North,Board3,27/11/2013,76390.39953
South,Game8,23/01/2011,24606.97176
South,Game2,06/05/2013,66031.95845
West,Game7,18/04/2015,101636.4221
West,Board3,20/09/2010,18114.00806
West,Dyno4,13/08/2015,107604.9981
East,Game3,20/12/2013,76449.41907
North,Game3,07/09/2013,72171.11295
North,Board2,20/08/2012,52993.85469
West,Game3,11/09/2012,54058.77615
East,Game9,16/06/2013,67494.81445
North,Dyno2,08/05/2014,84647.69178
East,Dyno4,20/03/2014,81263.28919
North,Dyno5,05/01/2010,5282.929267
South,Board5,15/06/2012,50242.13399
North,Game7,16/02/2015,98739.71894
North,Dyno5,26/10/2011,38481.42056
South,Game2,14/08/2012,53004.77413
North,Game2,02/07/2010,14100.71595
South,Game6,19/08/2014,89967.81939
North,Dyno2,06/09/2015,108599.1736
East,Board4,04/08/2014,88133.50493
West,Board2,06/05/2016,120564.1044
South,Game10,30/07/2015,106755.9648
North,Game9,08/10/2015,110213.6058
South,Dyno4,23/02/2016,117138.8108
West,Game8,16/03/2012,45264.87648
South,Board3,05/07/2014,87636.16981
North,Game5,02/04/2016,118848.5116
North,Board5,12/06/2016,122914.7903
South,Game7,17/08/2012,53169.98083
West,Dyno5,18/01/2014,78653.83269
North,Dyno4,24/01/2014,78947.53897
North,Dyno4,19/12/2010,22662.50958
East,Game9,20/08/2011,34204.84855
North,Dyno3,07/05/2016,121033.2168
North,Dyno1,08/04/2015,101379.2964
North,Game2,22/04/2016,120334.7825
North,Game8,03/03/2010,8108.745167
East,Game7,03/02/2013,60964.56376
South,Game1,29/03/2013,64682.5417
South,Game9,02/09/2011,35879.13087
North,Game3,28/06/2015,105645.1953
North,Dyno3,25/05/2015,103583.6749
West,Board5,23/10/2011,37988.98248
North,Dyno4,16/01/2016,115387.0404
North,Game1,07/05/2013,66238.27215
North,Board4,03/11/2014,93386.34719
East,Game6,17/03/2011,26474.21305
North,Dyno2,22/04/2013,65650.29762
North,Board4,18/02/2012,44022.35463
East,Game9,18/09/2010,17327.18125
North,Game4,05/04/2011,27770.3844
East,Game5,20/11/2012,57437.0558
North,Game9,10/12/2014,95646.49969
West,Dyno2,23/01/2011,24272.0919
North,Board5,31/08/2010,17676.76698
East,Dyno2,24/01/2015,96735.78472
North,Game2,06/03/2010,8339.313101
North,Game5,11/08/2012,52659.42416
North,Board1,18/12/2012,58881.39878
South,Dyno4,20/03/2014,82393.14368
South,Board2,07/07/2013,69675.46337
North,Board2,03/08/2010,15885.68865
West,Board1,02/07/2013,68733.82222
North,Game6,26/01/2014,79556.78909
North,Board1,05/12/2012,58631.74953
South,Board1,21/11/2011,39969.38889
North,Dyno2,24/07/2015,106828.2032
North,Game10,28/03/2015,100851.6072
East,Game10,03/02/2013,61091.71108
North,Game7,13/12/2013,77255.07465
North,Dyno4,09/03/2014,81258.05336
South,Board3,16/01/2014,79067.93528
North,Game2,28/12/2012,59884.55288
South,Board1,17/12/2013,77286.10236
North,Dyno3,15/04/2011,28271.69454
North,Dyno3,26/04/2016,120636.1899
East,Dyno1,10/07/2014,87222.33613
East,Game6,24/06/2012,49961.03248
North,Dyno3,24/04/2011,29110.41051
North,Game6,17/06/2014,86351.08332
South,Board5,19/03/2015,100563.7331
South,Board5,16/01/2010,6132.439189
East,Board5,06/02/2012,42776.70866
North,Dyno3,03/06/2012,49370.86181
North,Game4,18/03/2015,99911.14157
West,Game2,16/07/2010,14984.01681
North,Dyno4,30/05/2016,121955.643
North,Game8,10/10/2014,92123.76126
West,Game8,16/10/2014,92626.82107
North,Board1,03/05/2012,48134.10839
South,Game5,08/12/2015,113570.884
North,Dyno1,17/10/2012,56423.16089
North,Dyno5,04/10/2014,92257.68252
East,Game8,25/03/2011,26996.06486
North,Board5,24/06/2015,105120.1406
West,Dyno1,10/09/2012,54190.28274
South,Game10,28/10/2014,93241.57647
West,Dyno3,02/12/2010,21992.0401
South,Game9,14/07/2013,70355.02285
North,Board1,26/07/2012,52035.60793
North,Game9,10/08/2012,52724.21056
North,Board4,21/01/2012,42547.59696
South,Dyno3,30/09/2015,110294.7601
South,Game8,19/05/2015,103705.333
North,Game6,03/11/2012,57109.21248
North,Board5,23/07/2012,51871.27437
West,Game9,15/01/2010,5641.603083
West,Board2,11/09/2013,72817.69708
South,Dyno3,19/09/2013,73281.00092
South,Game1,10/03/2015,100159.8719
North,Dyno1,20/08/2013,71894.16374
South,Board4,03/03/2016,118149.7154
South,Dyno5,05/08/2011,34179.52021
North,Dyno1,03/12/2013,76656.49582
North,Game8,15/11/2011,39259.98364
North,Game6,07/09/2012,54209.21038
West,Game9,15/07/2013,69680.0936
East,Board4,12/07/2010,14193.8626
North,Game2,14/08/2012,52684.8338
West,Board3,20/10/2012,56048.35437
North,Board2,06/05/2014,84178.37069
North,Dyno4,28/11/2013,76360.46348
South,Board4,04/02/2014,80306.0076
North,Game9,18/06/2012,49876.6682
South,Game6,09/05/2014,84494.32032
North,Board3,11/11/2013,75728.90439
East,Board2,09/07/2014,86771.54347
North,Game4,09/03/2012,45091.99531
North,Board4,01/02/2011,25059.09782
North,Game2,23/01/2012,42822.82753
West,Dyno5,14/02/2011,25395.30356
South,Game5,11/03/2012,45546.39015
North,Game3,06/07/2014,87429.69013
North,Board4,03/09/2014,90259.44169
North,Dyno1,19/12/2010,23014.22183
South,Game2,28/07/2015,107384.3804
North,Game10,27/08/2011,35344.73053
South,Game1,16/12/2015,114059.0872
North,Board4,12/01/2013,60566.06262
North,Game7,03/07/2013,69023.90635
South,Game4,10/11/2013,75699.65628
North,Board2,30/07/2012,52343.58304
West,Dyno1,17/06/2013,68022.51656
North,Game1,23/11/2013,76263.02928
West,Board1,10/02/2010,6856.603706
North,Dyno2,14/06/2013,68250.18175
East,Board3,28/09/2012,54728.50313
South,Game4,05/11/2013,75315.13072
West,Dyno1,21/08/2010,16555.25935
North,Board2,06/02/2011,24879.53355
South,Board2,30/03/2012,45941.45406
North,Dyno2,03/02/2012,43351.23222
West,Game2,29/04/2014,83871.73882
East,Game10,29/05/2012,48599.25253
South,Game7,02/08/2010,15816.23233
North,Game4,30/01/2011,24860.64555
East,Game10,03/11/2013,74761.67138
North,Game3,11/09/2011,35878.08
South,Game2,23/06/2011,32288.63179
North,Board2,22/12/2013,77660.07537
South,Game10,19/09/2013,72758.42636
West,Board2,04/03/2014,81016.8574
West,Game4,23/05/2012,48780.15221
North,Dyno3,10/12/2011,40464.90634
South,Game4,02/11/2015,111768.8245
South,Game5,21/05/2010,12169.14403
West,Game9,03/10/2015,110098.6918
West,Game7,19/08/2013,71501.75595
North,Board1,18/04/2014,83839.68652
South,Board4,03/11/2012,57007.05977
North,Game8,23/01/2012,43268.50511
South,Board5,19/01/2010,6055.80951
South,Game8,13/06/2011,31870.65726
South,Board5,28/02/2012,44825.62882
South,Game4,18/02/2011,25967.72678
West,Game7,02/06/2010,12876.65982
North,Dyno4,27/03/2012,45969.40726
North,Game7,22/07/2012,51607.12693
South,Game3,21/03/2011,27517.38891
North,Game9,06/10/2015,110131.2185
West,Board3,21/05/2010,12109.56976
South,Game4,19/11/2010,21660.07236
East,Game2,01/11/2015,110820.7502
North,Game5,15/11/2013,75739.05749
North,Game6,18/08/2014,89644.46681
North,Game1,23/04/2012,47352.44308
West,Dyno2,09/04/2011,27978.60641
North,Game7,13/02/2016,116575.9629
North,Game8,05/03/2012,44741.86952
North,Game8,17/05/2013,66990.47564
West,Game1,02/05/2015,101656.5183
North,Game8,17/11/2011,39443.18169
North,Game7,14/07/2015,105696.4215
North,Board2,26/07/2010,15121.82691
North,Game2,17/08/2012,53221.78304
North,Game10,05/04/2014,82998.5233
South,Dyno1,24/03/2010,9453.198666
North,Game4,29/03/2012,45883.37324
North,Game3,16/08/2015,107280.4998
South,Game1,25/12/2013,77769.50667
North,Board2,27/12/2012,60119.90128
North,Game3,03/04/2012,46252.76791
West,Board3,01/10/2015,109944.6872
North,Dyno2,02/07/2011,32408.52128
North,Game7,16/04/2010,10535.21492
South,Board1,09/09/2010,17984.72938
North,Game7,29/11/2012,58199.87656
North,Game5,27/08/2011,35193.84228
North,Board4,10/05/2015,102481.9311
West,Game9,29/09/2011,37302.74726
South,Dyno3,02/05/2013,66692.01772
North,Board5,06/12/2011,40351.75448
South,Game4,08/08/2014,89148.64663
East,Game4,26/02/2014,80136.61295
South,Game4,19/06/2014,86758.3485
North,Dyno5,29/08/2014,90480.89315
East,Game5,26/04/2010,10630.12767
North,Game9,04/04/2011,27985.14589
West,Game4,24/11/2010,21824.73118
North,Game9,19/03/2014,81976.35347
East,Board1,27/02/2011,25745.59099
West,Game8,16/08/2012,52699.62952
East,Board1,19/06/2014,86050.05961
North,Game8,26/01/2013,60712.34387
North,Game4,05/12/2015,113507.5426
East,Dyno5,25/08/2011,34443.74797
North,Game4,17/08/2010,16449.50165
North,Game1,10/09/2010,17649.09236
North,Game8,10/04/2010,10030.74102
North,Game6,20/05/2015,103302.0358
South,Dyno2,11/12/2014,95658.40077
East,Game2,07/06/2015,103565.4936
North,Board5,04/11/2015,111731.2358
South,Board5,19/05/2011,30323.83807
West,Game5,12/09/2014,90646.13597
North,Game10,23/05/2014,85197.95684
East,Board2,03/12/2011,39702.48567
North,Board5,05/08/2014,88775.58212
West,Board4,10/12/2011,40257.72018
North,Game7,02/05/2013,65754.79192
South,Game9,17/02/2011,25931.172
West,Dyno3,01/10/2012,54944.73305
North,Board3,21/05/2011,30503.94863
East,Game8,21/05/2016,120803.0764
West,Game1,13/02/2013,61644.97278
North,Game6,04/06/2010,12501.94386
South,Board4,06/10/2012,55621.46151
South,Game2,09/01/2012,42317.7854
North,Game8,15/12/2012,59268.10977
West,Dyno5,25/05/2016,121947.031
North,Board2,09/01/2016,114708.7566
East,Game8,05/05/2011,28895.91037
South,Game7,01/02/2011,25009.53448
North,Game8,08/04/2012,46662.90472
West,Game2,31/01/2011,24619.82932
North,Board4,14/02/2010,7314.885923
South,Dyno5,30/06/2010,14108.53122
North,Dyno4,14/08/2014,89263.47863
East,Dyno2,20/05/2015,102765.5161
North,Game8,19/11/2011,39412.62545
South,Board2,19/04/2015,102097.7381
West,Dyno4,28/11/2012,57880.05041
South,Game5,08/10/2013,74288.02031
South,Game3,23/01/2012,42646.64439
South,Board5,10/04/2010,10307.22892
East,Dyno5,06/02/2012,42729.38332
South,Dyno2,18/01/2010,6460.981926
South,Game7,12/08/2011,34884.70448
South,Board4,16/12/2014,95839.46719
West,Dyno3,30/01/2014,79404.68213
North,Game1,12/11/2011,39214.82323
North,Dyno4,20/09/2014,91157.30309
South,Game10,12/04/2012,46866.25893
South,Board1,29/07/2011,33855.06632
North,Board3,18/04/2014,83434.9566
North,Game9,10/08/2015,107511.5603
North,Game7,06/05/2016,120590.948
North,Dyno2,31/07/2011,34096.53044
North,Dyno1,16/08/2014,89778.16259
North,Board3,14/06/2014,86158.25859
North,Board5,23/12/2013,77575.94873
West,Board2,04/06/2013,67212.82174
East,Board4,02/05/2013,65466.12074
West,Board3,14/02/2013,62348.58559
North,Dyno3,25/03/2012,45773.97116
North,Board5,20/11/2012,57860.2658
East,Board1,24/05/2010,11670.62518
North,Game7,22/09/2011,36679.2361
South,Dyno1,25/08/2014,90207.37079
East,Board1,14/09/2013,72436.02082
South,Dyno3,23/03/2011,27704.47687
East,Dyno3,29/08/2015,107916.6783
North,Dyno1,09/02/2010,7026.001364
South,Dyno2,12/03/2014,81892.95855
North,Game10,27/06/2012,50957.73965
North,Game6,17/12/2011,40707.24238
North,Dyno4,27/03/2013,64169.47299
South,Game6,30/04/2015,102400.4645
South,Game6,30/05/2016,122345.1915
North,Game7,01/04/2013,63921.789
South,Game1,02/07/2015,105504.885
North,Dyno5,13/10/2010,19393.31858
North,Dyno3,30/03/2013,64333.69875
West,Game4,09/10/2015,110365.8932
North,Game2,13/01/2015,96947.00863
North,Game9,05/06/2014,85823.55251
South,Board1,07/01/2012,42132.08152
North,Game6,24/02/2014,80776.35188
North,Game1,08/05/2011,30005.96839
North,Game8,13/02/2013,61944.27507
North,Game3,14/03/2016,118262.5907
West,Game1,14/02/2012,43768.21742
South,Game6,14/05/2012,48543.31841
North,Dyno5,18/12/2010,22524.93083
North,Board4,19/12/2011,41285.95433
East,Board4,26/02/2012,43822.8265
North,Game1,26/11/2011,39823.47942
North,Dyno5,12/10/2011,37835.217
South,Game4,12/09/2011,36414.27476
North,Board3,16/11/2010,21221.74127
North,Board4,01/08/2014,89020.03561
South,Game9,23/06/2014,87035.06233
North,Dyno3,25/05/2014,85430.69915
East,Board4,03/03/2013,62445.11646
North,Board3,19/04/2015,102030.5614
South,Board4,29/12/2010,23530.38281
North,Game6,04/09/2015,108425.1987
North,Game1,11/05/2012,47888.45617
East,Board1,02/12/2013,76041.12466
North,Board3,10/04/2010,10072.9214
North,Game6,23/03/2016,118431.887
North,Board3,28/01/2013,61335.34443
North,Dyno3,17/06/2010,13379.12581
North,Game10,22/11/2012,57556.20359
North,Game4,30/06/2013,68938.76863
North,Game3,22/12/2011,40997.59512
North,Game4,18/02/2011,25576.87859
South,Game3,20/01/2013,60849.1849
South,Dyno4,08/05/2015,103378.9266
North,Board4,09/02/2012,43630.95068
North,Dyno2,23/02/2014,80977.22353
South,Dyno3,19/01/2016,115939.1009
North,Game3,27/10/2015,111044.0724
North,Dyno5,20/08/2012,53101.95778
East,Board3,21/05/2011,29702.05595
South,Board2,17/08/2015,107879.571
North,Game4,11/08/2010,16365.97262
South,Board4,04/03/2012,44988.21891
North,Board3,09/08/2010,16372.54544
North,Board4,29/12/2013,77955.99917
North,Dyno2,10/10/2011,37305.77058
North,Board5,17/02/2010,7279.321238
North,Game6,10/10/2014,91880.16953
North,Dyno5,29/01/2014,79327.01959
North,Game3,03/12/2011,40462.62852
North,Dyno2,17/12/2011,40854.58262
North,Game2,05/08/2013,70443.14088
North,Board2,10/12/2011,40391.66068
North,Dyno2,06/07/2014,87145.26382
South,Game10,21/04/2010,10677.01191
North,Game7,24/01/2012,42911.83026
North,Game2,20/06/2010,13545.88125
North,Dyno2,10/03/2015,99775.87283
East,Game9,11/01/2013,59956.00703
North,Board4,08/09/2010,17724.31848
North,Dyno3,30/08/2013,72071.30043
East,Board1,24/08/2014,89523.54116
South,Board1,09/06/2015,104187.0006
West,Board2,12/08/2012,52414.105
North,Game8,11/09/2011,36290.62736
North,Dyno5,13/02/2011,25763.6282
East,Board4,17/06/2013,67478.1813
North,Board5,22/01/2014,79337.81485
East,Dyno5,10/01/2013,60299.83306
West,Board2,15/10/2010,19061.72917
South,Game5,30/06/2015,105571.9586
West,Dyno3,18/08/2012,52824.48109
North,Dyno3,10/03/2013,63300.38269
North,Game7,13/07/2014,87466.57463
North,Game2,18/05/2011,30319.98996
South,Game9,20/04/2015,101596.6766
West,Dyno2,28/03/2012,45873.3348
North,Board1,19/10/2015,110651.7996
South,Game2,18/07/2013,69967.12101
North,Game5,17/02/2011,25680.53901
South,Board5,09/10/2010,19085.27436
South,Game10,30/11/2010,21842.33461
West,Game1,04/08/2010,15454.95302
West,Game2,24/09/2010,18311.33488
South,Game1,10/02/2011,25685.74112
East,Game6,15/01/2012,41775.38253
North,Board3,22/05/2014,85435.93932
North,Game3,22/10/2014,92969.56608
South,Dyno4,14/06/2011,31432.5874
North,Dyno2,14/12/2011,40695.83397
South,Board4,17/11/2014,94539.60239
South,Game8,21/01/2015,97543.57446
South,Dyno1,12/05/2010,11503.28898
South,Dyno1,17/06/2011,32380.37718
North,Dyno4,14/02/2015,98756.73052
North,Dyno1,11/06/2012,49668.31772
South,Game10,09/08/2012,53075.58416
West,Game9,07/06/2011,31016.21224
North,Dyno4,06/07/2010,14597.32155
North,Game8,14/08/2013,71114.68392
North,Dyno5,21/11/2012,57490.44476
North,Game6,06/05/2013,66112.92021
South,Game5,20/10/2012,56393.73593
North,Dyno4,27/04/2016,120542.363
South,Dyno4,09/04/2013,65097.61767
North,Board4,29/04/2010,11298.59129
South,Dyno2,13/10/2010,19495.72157
South,Dyno4,21/03/2014,81812.77425
East,Board2,29/03/2012,45211.17597
South,Dyno5,15/02/2012,44497.2669
South,Game2,21/01/2014,79417.7511
North,Game5,30/03/2014,82322.38737
East,Board5,08/05/2012,47645.75354
North,Game9,04/11/2015,111692.6527
South,Board4,08/01/2012,41822.60824
South,Game10,20/12/2013,77804.09679
South,Dyno3,04/11/2010,20727.21292
North,Game7,04/02/2015,98130.84087
West,Game7,28/04/2013,65761.93156
South,Board1,06/01/2016,114788.7668
North,Game7,14/01/2015,96813.42503
North,Game10,13/11/2014,93875.024
North,Game5,16/06/2014,86306.33485
North,Game6,29/03/2014,82582.16819
North,Game4,11/04/2016,119688.0864
North,Game10,16/11/2012,57230.41038
South,Board1,19/11/2012,57641.26643
North,Board4,02/03/2015,99607.46838
North,Game8,02/01/2010,4944.931422
North,Board1,22/08/2011,35009.74101
North,Game4,03/08/2012,52444.42844
North,Dyno1,21/09/2013,73026.57039
West,Game7,22/09/2012,54815.21587
North,Game4,21/06/2011,31723.96878
North,Game9,04/07/2011,32825.47967
North,Game7,17/08/2013,71267.78572
North,Game7,04/05/2015,102770.9736
North,Board1,24/11/2013,76293.35322
South,Game8,23/01/2013,60856.21047
South,Game10,01/11/2015,111766.1447
East,Dyno4,28/03/2015,99893.08067
South,Dyno2,10/07/2013,69599.63613
North,Game6,30/08/2015,108339.3534
East,Game2,16/03/2011,26361.40425
West,Dyno1,26/08/2015,107854.5801
East,Board1,29/03/2014,81893.95512
West,Game1,01/11/2012,56959.91974
North,Dyno4,13/03/2013,63469.12824
North,Board5,05/01/2015,96349.35744
North,Game8,08/06/2016,122410.1517
North,Game4,12/11/2014,93704.08607
North,Board3,19/12/2012,58921.42628
South,Dyno3,20/09/2011,36685.98521
South,Game7,14/04/2012,46795.4043
North,Dyno5,17/06/2012,49936.27272
North,Game6,16/07/2011,33105.40574
South,Game6,09/05/2012,48291.17225
North,Board1,11/12/2015,113449.9486
East,Game10,23/10/2011,37952.21861
North,Dyno1,04/07/2013,68720.73326
North,Game3,13/03/2014,81539.25505
North,Game7,11/06/2011,31548.86961
East,Game2,13/02/2013,61336.64993
West,Dyno2,19/05/2015,103158.8801
West,Board1,27/01/2012,42963.81765
North,Game3,22/09/2014,90977.68427
North,Board4,24/06/2015,105098.6324
North,Game2,01/06/2010,12488.02699
South,Board5,20/05/2015,103353.4105
South,Board2,07/04/2011,28762.49633
North,Game1,17/08/2013,71522.29629
North,Game10,07/07/2011,32689.7485
North,Dyno5,02/05/2012,47531.41632
South,Game8,03/05/2012,48023.5945
North,Game2,15/05/2015,103200.2364
